ID,SAMPLE_NAME,INTERP,X_ED50,Y_ED50,X_WGS84,Y_WGS84,WATER_DEPTH,TERMINAL_DEPTH,PRIMARY_COMPONENT,GRAIN_SIZE,STRENGTH_DENSITY,SECONDARY_COMPONENT,NOTES,BED_TOP,BED_BASE
24,54+2/164/CS/1,,,54.04777,2.1947881,54.047016,72,0.7,Sand,,,"muddy, slightly silty, shell fragments",dark grey/green,0,0.31
24,54+2/164/CS/1,,2.19621,54.04777,2.1947881,54.047016,72,0.7,Gravel,,,"Sandy, shell debris",pale red/brown,0.31,0.59
24,54+2/164/CS/1,,2.19621,54.04777,2.1947881,54.047016,72,0.7,Clay,,,"silty, pebbly, shell Gravel",dark red/grey,0.59,0.71
25,54+2/38/VE/1,,,54.045,2.1994083,54.0442459,75,2.0999999,Sand,fine,,"muddy, little shell debris",,0,0.45
25,54+2/38/VE/1,,2.20083,54.045,2.1994083,54.0442459,75,2.0999999,Gravel,,,"pebbles, cobbles Sand, mud, abundant shell debris",,0.45,1.02
25,54+2/38/VE/1,,2.20083,54.045,2.1994083,54.0442459,75,2.0999999,Sand,medium,,"Gravelly, shell debris",,1.02,1.24
25,54+2/38/VE/1,,2.20083,54.045,2.1994083,54.0442459,75,2.0999999,Sand,medium,,very slightly shelly,,1.24,2.05
27,54+2/165/VE/1,,,54.02362,2.1936088,54.0228651,70,4.0999999,Sand,very fine,,very muddy,well sorted,0,0.05
27,54+2/165/VE/1,,2.19503,54.02362,2.1936088,54.0228651,70,4.0999999,Gravel,coarse,,"pebbles, very shelly, very muddy",poorly sorted,0.05,0.65
27,54+2/165/VE/1,,2.19503,54.02362,2.1936088,54.0228651,70,4.0999999,Silt / sand,fine,,"Interlaminated Silt/Sand, clayey, sparse peat and shell fragments","grey, very uniform",0.65,4.09
28,54+2/37/VE/1,,,54.02167,2.197749,54.0209151,73,4.3000002,Mud,,very soft,silty,No shell debris,0,0.1
28,54+2/37/VE/1,,2.19917,54.02167,2.197749,54.0209151,73,4.3000002,Gravel,,,"muddy, Sandy, cobbles, shell debris",,0.1,0.6
28,54+2/37/VE/1,,2.19917,54.02167,2.197749,54.0209151,73,4.3000002,Sand,fine,,"muddy, silty, interlaminated and interbedded, shell debris",,0.6,4.33
29,54+2/196/CS/1,,,54.01617,2.1809088,54.0154147,75,0.7,Sand,fine,,,olive brown,0,0.3
29,54+2/196/CS/1,,2.18233,54.01617,2.1809088,54.0154147,75,0.7,Sand,fine,,"muddy, small shell fragments","grey, brown",0.3,0.71
30,54+2/197/CS/1,,,54.00733,2.180409,54.0065744,80,0.8,Sand,fine,,,olive brown,0,0.1
30,54+2/197/CS/1,,2.18183,54.00733,2.180409,54.0065744,80,0.8,Mud,,,Sandy,"grey, brown",0.1,0.82
31,53+2/374/VE/1,,,53.99667,2.20608,53.9959144,76,6,Sand,very fine,,"slightly muddy, rare shell debris","green, grey, bioturbated",0,6
32,53+2/1513/VE/1,,,53.98767,2.1982501,53.986914,61,5.6300001,Sand,very fine to fine,,,,0,1.3
32,53+2/1513/VE/1,,2.19967,53.98767,2.1982501,53.986914,61,5.6300001,Sand,very fine to fine,,muddy,olive grey,1.3,5.63
33,53+2/560/CR/1,,,53.95867,2.2587526,53.9579137,38,0.1,Sand,fine to medium,,"slightly muddy, common shells",,0,0.1
34,53+2/379/VE/1,,,53.89333,2.2129136,53.8925711,36,1.7,Sand,fine,,"little shell debris, scattered shells","grey, brown",0,1.71
35,54+2/125/CS/1,,,54.11499,2.6788579,54.1142437,0,1.4,Mud,,,"very Sandy, shells common at base","olive grey, black",0,0.64
35,54+2/125/CS/1,,2.68027,54.11499,2.6788579,54.1142437,0,1.4,Mud,,,"slightly Sandy, silty",grey/brown,0.64,1.36
36,54+2/137/VE/1,,,54.11777,2.525184,54.1170221,62,4.9000001,Sand,very fine,,"muddy, rare shells and peat fragments","dark olive grey, well sorted",0,0.8
36,54+2/137/VE/1,,2.5266,54.11777,2.525184,54.1170221,62,4.9000001,Silt,,very soft,"fine Sand laminae, muddy","olive brown, bioturbated",0.8,4.88
37,54+2/138/VE/1,,,54.04795,2.67398,54.0472014,63,5.0999999,Sand,very fine,slight plasticity,"silty, well sorted, quartzitic, very muddy, angular grains, dark greyish brown",,0,1.2
37,54+2/138/VE/1,,2.67539,54.04795,2.67398,54.0472014,63,5.0999999,Silt,,,"very clayey, dark greyish brown",,1.2,5
38,54+2/139/VE/1,,,54.04879,2.5468068,54.04804,43,2.5,Sand,fine to course,,"slightly muddy, olive brown Gravelly with shell fragments",,0,0.15
